,,,,,Paper Bags,Plastic Bags,Retail & Consumables,Catering,E commerce & Resale Bags,,
,,,,,Alina,Carol,Jon,Sarah & Janice (B1),Josie,,
Skus,,,,,490,329,1628 actual 650,662,444,,
Current,,,,,"95,982,030","18,300,043","19,068,149","14,551,769",,,
New Total,,Sku Count,,,"£94,670,770","£15,726,518","£15,044,565","£13,163,410","£4,740,583",,
BAGPAPER,E,411,,"UK, China, Turkey","£56,207,500",,,,,,
PAPER,E,79,,"UK, China, Turkey","£4,463,270",,,,,,
Paper Factory EST,E,,,UK,"£34,000,000",,,,,,
BAGPLAST,D,175,,"Malaysia, Vet, China",,"£2,942,082",,,,,
BAGRESALE,C,64,,"Malaysia, India, China",,"£4,724,510",,,,,
BOPP,D,24,,"Malaysia, Vet, China",,"£777,481",,,,,
CARRIERS,D,13,,"Malaysia, Vet, China",,"£1,530,462",,,,,
REFUSESAC,D,62,,"Malaysia, Vet, China",,"£2,770,221",,,,,
STRETCH,C,19,,UK China,,,,,"£549,996",,
VESTCARRI,D,55,,"Malaysia, Vet, China",,"£2,981,762",,,,,
CHEMICAL,A,70,,"UK, Europe",,,"£1,784,544",,,,
CORRUGATE CARTONS,C,45,MOVE P BOX ETC TO BELOW,"UK, Turkey, China",,,,,"£690,814",,
COSMETIC,C,8,,UK,,,,,"£38,079",,
EQUIPMENT,A,100,,"UK, China",,,"£1,023,716",,,,
FIRSTAID,A,36,,"UK, China",,,"£213,808",,,,
FURNITUR,A,2,Camping,"UK, Thailand",,,"£104,015",, ,,
GLOVES,A,45,,China Malaysia,,,"£1,635,715",,,,
HANGERS,A,166,,UK Turkey,,,"£348,443",,,,
HYGIENEPA,A,32,,"UK, Turkey, China",,,"£3,946,701",,,,
JANITOR,A,156,,"UK, Turkey, China, India, Pak",,,"£1,534,463",,,,
LABELS,A,136,,UK China,,,"£1,235,297",,,,
M&S ACRYL,A,128,,UK,,,£0,,,,
M&S EQUIP,A,564,,UK,,,"£8,365",,,,
M&S PUBLI,A,0,,,,,£0,,,,
PACKAGING,C,79,MOVE TO CORRUGATE APART FROM LUSH,"UK, Turkey",,,,,"£639,786",,
POS,A,44,,"UK, Europe",,,"£453,460",,,,
PRINT,A,39,,UK,,,"£44,806",,,,
SEASDECO,A,1,,,,,£0,,,,
SECURITY,A,18,,"UK, China",,,"£160,425",,,,
SHOPBSKT,A,4,,Uk Europe,,,£0,,,,
SIGNS,C,38,,"UK, China",,,,,"£17,937",,
SIZEMARK,A,20,,UK Turkey,,,£0,,,,
STATIONER,C,132,,UK China,,,,,"£1,143,235",,
TAPE,C,35,,UK China,,, ,,"£214,605",,
TILLROLL,A,18,,UK China,,,"£1,137,970",,,,
TWINE,C,4,,UK,,,,,"£166,732",,
VENDING,C,11,,UK,,,,,"£1,052,968",,
WORKWEAR,A,16,,"UK, China",,,"£157,256",,,,
CATELGHT,B1,88,Consol,UK,,,,"£199,514",,,
CATERDISP,B,256,"Cups, Lids, Plates, Bowls, Cutlery, Straws",UK/Turkey/China/Vet,,,,"£3,733,901",,,"8,408,790.28"
Cups,B,,"Cups, Lids, Plates, Bowls, Cutlery, Straws",UK/Turkey/China/Vet,,,,"£3,200,000",,"£3,200,000",
Cutlery,B,,"Cups, Lids, Plates, Bowls, Cutlery, Straws",UK/Turkey/China/Vet,,,,"£156,000",,"£156,000",
Straws,B,,"Cups, Lids, Plates, Bowls, Cutlery, Straws",UK/Turkey/China/Vet,,,,"£319,200",,"£319,200",
Wooden Cutlery Etc,B,,"Cups, Lids, Plates, Bowls, Cutlery, Straws",UK/Turkey/China/Vet,,,,"£999,689",,"£999,689",
CATEREQUI,B1,51,Consol,UK/China,,,,"£264,767",,,
CHOPBORD,B1,6,Consol,UK/China,,,,"£5,297",,,
COOKWARE,B1,0,Consol,UK/China,,,,£0,,,
FILM,,,,UK China,,,,£0,,,
FOIL,B,151,Foil Containers,UK/Turkey/China/Europe,,,,"£2,939,316",,,
FOODPACK Paper EST,A,35,FBB & Pizza & Fish & Chips,UK/Turkey/China/Vet,,,"£1,255,583",,,,
FBB Incl Above,A,,,UK/Turkey/China/Europe,,, ,,,,
Foodpack Other,B,30,"Bagagsee,Micro wa Con. ",,,,,"£845,621",,,
GASTNORM,B1,18,Consolidation,Uk/China,,,,"£29,019",,,
GLASWARE,B1,7,Consolidation,Uk/China,,,,"£15,505",,,
KITCWARE,B1,4,Consolidation,Uk/China,,,,"£17,559",,,
RESTSUND,B1,0,Consolidation,Uk/China,,,,£0,,,
TABLEWARE,B,49,Consolidation,Uk/China,,,,"£438,022",,,
Retail paper Tableware,B,,,"UK, China",,,,,,,
FOODWRAP,C,9,"Foil Wrap, Cling F , Burger Wrap","UK, China, Turkey",,,,,"£226,430",,
Miscellaneous,A,,M&S Special Projects,,,,,,,,
 ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
A =JH,,,Paper & Consumables,,,,,,,,
B = SF,,,Catering,,,,,,,,
C=JM,,,E commerce & Resale Bags,,,,,,,,
D = Carol,,,Plastic bags ,,,,,,,,
E= AN,,,Paper Bags,,,,,,,,